Scheme,Database,NumDocs,AvgKwPerDoc,TotalPairs,StorageBytes,StorageKB,StorageMB,RatioToFDXT,CurveType
FDXT,Crime_USENIX_REV,500,25,12500,3200000,3125.00,3.05,1.00,TypeA_standard
ODXT,Crime_USENIX_REV,500,25,12500,3200000,3125.00,3.05,1.00,TypeA_standard
SDSSE-CQ,Crime_USENIX_REV,500,25,12500,3200000,3125.00,3.05,1.00,TypeA_standard
Mitra,Crime_USENIX_REV,500,25,12500,800000,781.25,0.76,0.25,TypeA_standard
Bestie,Crime_USENIX_REV,500,25,12500,1125000,1098.63,1.07,0.35,TypeA_standard
FDXT,Enron_USENIX,2000,20,40000,10240000,10000.00,9.77,1.00,TypeA_standard
ODXT,Enron_USENIX,2000,20,40000,10240000,10000.00,9.77,1.00,TypeA_standard
SDSSE-CQ,Enron_USENIX,2000,20,40000,10240000,10000.00,9.77,1.00,TypeA_standard
Mitra,Enron_USENIX,2000,20,40000,2560000,2500.00,2.44,0.25,TypeA_standard
Bestie,Enron_USENIX,2000,20,40000,3600000,3515.62,3.43,0.35,TypeA_standard
FDXT,Wiki_USENIX,10000,15,150000,38400000,37500.00,36.62,1.00,TypeA_standard
ODXT,Wiki_USENIX,10000,15,150000,38400000,37500.00,36.62,1.00,TypeA_standard
SDSSE-CQ,Wiki_USENIX,10000,15,150000,38400000,37500.00,36.62,1.00,TypeA_standard
Mitra,Wiki_USENIX,10000,15,150000,9600000,9375.00,9.16,0.25,TypeA_standard
Bestie,Wiki_USENIX,10000,15,150000,13500000,13183.59,12.87,0.35,TypeA_standard
